number,category,confidence,area,version,has_repro,likely_fixed_by_port,summary,html_url
7054,needs-repro,low,test-runner,1.0.11,no,no,"Segfault running tests on M1 mac, no stack trace, no repro provided, marked stale",https://github.com/oven-sh/bun/issues/7054
7122,not-memory,high,inspector,1.0.11,yes,no,"debug.bun.sh web inspector UI throws TypeError on getPropertyCSSValue (browser-side WebKit Inspector frontend bug, not a Bun runtime crash)",https://github.com/oven-sh/bun/issues/7122
7179,crash,high,build,1.0.x-1.1.12,yes,no,"SIGILL on pre-SSE4.2 AMD CPUs (A6-3410MX, Phenom II) even with baseline build",https://github.com/oven-sh/bun/issues/7179
7184,not-memory,high,build,1.0.12,yes,no,Cannot attach lldb to bun-profile on macOS due to hardened-runtime code signing (no get-task-allow entitlement),https://github.com/oven-sh/bun/issues/7184
7240,not-memory,high,env,,no,no,Feature request for env var validation; word 'crashes' is incidental,https://github.com/oven-sh/bun/issues/7240
7272,leak,medium,streams,1.0.13,yes,yes,RSS grows to 1.5GB streaming a 2GB Azure blob download (Node stays at 80MB); stream backpressure/buffering not releasing chunks,https://github.com/oven-sh/bun/issues/7272
7484,crash,medium,module-loader,,no,yes,Uncaught JS exception thrown during internal-module evaluation crashes the process instead of being reported,https://github.com/oven-sh/bun/issues/7484
7538,crash,high,worker,1.0.15,yes,yes,SIGSEGV when a Worker throws inside its 'error' event handler (diagnosed by Jarred),https://github.com/oven-sh/bun/issues/7538
7582,leak,medium,ffi,1.0.16,yes,yes,Creating+closing JSCallback in a loop leaks memory (1M iterations); close() not freeing tinycc/trampoline allocations,https://github.com/oven-sh/bun/issues/7582
7607,not-memory,high,install,1.0.17,yes,no,install.sh installs non-baseline build on a CPU that reports avx2 but lacks other Haswell features → SIGILL (install-script CPU detection bug),https://github.com/oven-sh/bun/issues/7607
7679,crash,low,fs-watcher,1.0.17,yes,yes,Rapid file saves under SvelteKit/Vite dev server kill HMR then crash the server (no trace),https://github.com/oven-sh/bun/issues/7679
7717,crash,high,bundler,1.0.18,yes,no,bun build SIGILL/stack-overflow parsing deeply-nested asm.js (libsodium) due to recursive parseExpr/Suffix/Prefix,https://github.com/oven-sh/bun/issues/7717
7816,not-memory,high,worker,1.0.20,yes,no,z3-solver worker hits JS RangeError (infinite postMessage→postMessage recursion in worker shim); not a native crash,https://github.com/oven-sh/bun/issues/7816
7848,assert,high,test-runner,1.0.18,yes,yes,bun test --watch SIGABRT: ASSERTION FAILED currentThreadIsHoldingAPILock in VM::finalizeSynchronousJSExecution via releaseWeakRefs in EventLoop.tick,https://github.com/oven-sh/bun/issues/7848
7957,leak,high,fs,1.0.20,yes,yes,fs.createReadStream leaks dup'd file descriptors (close() ineffective) → EMFILE after ~2000 iterations,https://github.com/oven-sh/bun/issues/7957
8000,oom,high,jsc,1.0.19,yes,no,"new ArrayBuffer(0, {maxByteLength: 4GB}) reserves full address space; ~7 of them exhaust VM (same in Safari)",https://github.com/oven-sh/bun/issues/8000
8069,crash,high,test-runner,1.0.21,yes,yes,bun test segfaults after a test hits --timeout while awaiting expect().resolves,https://github.com/oven-sh/bun/issues/8069
8144,crash,medium,jsc-bindings,1.0.21-debug,no,no,Debug-build-only SIGSEGV: WTF::String constructed from garbage ptr 0x6 / len 15M inside JSC stringProtoFuncToLocaleLowerCase,https://github.com/oven-sh/bun/issues/8144
8222,hang,high,spawn,1.0.25,yes,no,"bunx --bun playwright test fork-loops child processes via NODE_CHANNEL_FD IPC, hangs ~2min, leaves zombies, occasional segfault",https://github.com/oven-sh/bun/issues/8222
8355,crash,medium,worker,1.0.25,yes,yes,Parent process segfaults when a Worker (running cassandra-driver) throws or exits,https://github.com/oven-sh/bun/issues/8355
8487,not-memory,high,node:stream,1.0.25,yes,no,"TypeError ERR_INVALID_ARG_TYPE in newReadableStreamFromStreamReadable when node-fetch-cache passes a Pipeline instance — Node compat logic bug, not a crash/leak",https://github.com/oven-sh/bun/issues/8487
8513,crash,high,watcher/hot-reload,1.0.26,yes,yes,"`bun --hot` with a runtime plugin panics 'reached unreachable code' when an imported file is saved (inotify swap-file path), plus runaway memory growth in debug build",https://github.com/oven-sh/bun/issues/8513
8519,crash,medium,napi/install-lifecycle,1.0.26,yes,no,SIGSEGV running Prisma (and other postinstall scripts) inside oven/bun Docker on Linux; comment says fixed by #8995,https://github.com/oven-sh/bun/issues/8519
8575,hang,medium,tty/readline,1.0.25,yes,no,"After an enquirer prompt + AWS SDK Lambda call, the second enquirer prompt never accepts input — process hangs (title says 'crash' but it's a stdin/TTY hang)",https://github.com/oven-sh/bun/issues/8575
8629,crash,medium,napi,1.0.25,yes,no,"Prisma + CockroachDB: process silently exits (code 0, no error) on `prisma.$connect()` on Linux; try/catch and unhandledRejection never fire",https://github.com/oven-sh/bun/issues/8629
8902,crash,medium,runtime/jit,1.0.26,yes,no,Any non-trivial bun command exits immediately with code 11 (SIGSEGV) under linux-hardened kernel; works on mainline kernel,https://github.com/oven-sh/bun/issues/8902
9054,crash,high,ffi,1.0.28,yes,yes,bun:ffi `read.ptr()` on a struct field triggers JSC fatal SIGABRT 'IOT instruction (core dumped)' in a tight loop; `read.i64()` on same offset works,https://github.com/oven-sh/bun/issues/9054
9093,not-memory,medium,ffi,1.0.29,yes,no,Title says 'memory leak in .map' but it's actually user-side ptr() use-after-free + an FFI varargs/spread issue; Jarred confirmed buf is GC'd — not a Bun leak,https://github.com/oven-sh/bun/issues/9093
9111,crash,medium,http/serve,1.0.29,yes,yes,SIGILL (Illegal instruction) when Elysia static-plugin serves a file under `bun --watch` in oven/bun:1.0.29 Docker,https://github.com/oven-sh/bun/issues/9111
9134,not-memory,high,node:child_process,1.0.29,yes,no,"child_process.exec stdout-handler throws 'TypeError: second argument to Function.prototype.apply must be an Array-like object' on large output — JS builtin bug, not a native crash",https://github.com/oven-sh/bun/issues/9134
9261,uaf,low,http/Bun.serve,1.0.30,no,yes,"Bun.serve request.headers intermittently returns truncated/stale data from a previous request — symptom of header-buffer reuse/use-after-free; minimal repro never provided (stale, needs-repro labels)",https://github.com/oven-sh/bun/issues/9261
9264,not-memory,high,fetch/http,1.0.30,yes,no,"Bun's fetch always honors HTTPS_PROXY env var even when axios/node-http set proxy:false / custom Agent — feature/behavior gap, not a crash or leak",https://github.com/oven-sh/bun/issues/9264
9318,crash,high,shell,1.0.30,yes,yes,Bun.$`rm -r <large-tree>` deletes only some files then panics 'Invalid state' → SIGABRT; comment says fixed in #8456,https://github.com/oven-sh/bun/issues/9318
9320,assert,high,resolver,,yes,yes,"Windows: Resolver.assertValidCacheKey fires on path 'C:\\...\\bun-seyfert\""' (trailing backslash/quote) → panic",https://github.com/oven-sh/bun/issues/9320
9497,crash,high,install,1.0.33-canary,yes,yes,`bun add prisma` on Windows panics 'incorrect alignment' during package extraction,https://github.com/oven-sh/bun/issues/9497
9581,not-memory,high,module-loader,,no,yes,Infrastructure tracking issue: replace ResolvedSource with JSC::SourceProvider to eliminate a class of leaks/crashes — not itself a bug report,https://github.com/oven-sh/bun/issues/9581
9591,crash,medium,spawn/child_process,1.0.35-canary,no,yes,Windows: Discord.js sharding intermittently segfaults at 0xffffffffffffffff when spawning shard child processes,https://github.com/oven-sh/bun/issues/9591
9594,crash,high,runtime/cpu-baseline,1.1.0,yes,no,"SIGILL on CPUs without AVX/SSE4.2 (Phenom II, Celeron J4125) — install script fails to fall back to baseline build",https://github.com/oven-sh/bun/issues/9594
9639,crash,medium,install,1.0.35-canary,no,yes,Windows: `bun install` hits 404 on aliased packages then panics 'reached unreachable code' mid-extraction after Ctrl+C/retry,https://github.com/oven-sh/bun/issues/9639
9686,leak,medium,node:http,1.0.35,yes,yes,@hapi/hapi hello-world leaks ~12MB per 10k requests (heapSize grows unbounded); regression introduced between 1.0.26 and 1.0.30,https://github.com/oven-sh/bun/issues/9686
9707,crash,low,http/node-compat (express on Windows),1.0.35-canary.19,no,yes,"Segfault at 0x0 (ucrtbase.dll on stack) running Express app on Windows; intermittent, no minimal repro",https://github.com/oven-sh/bun/issues/9707
9769,leak,medium,runtime/stdio (bunx --bun),1.0.36,no,no,RSS grows ~1GB per save when running typescript-language-server --stdio under bun,https://github.com/oven-sh/bun/issues/9769
9777,crash,medium,install,1.1.0,yes,no,SIGILL on `bun add` on Windows; users note CPU change/ARM-on-M1 — AVX2 baseline mismatch,https://github.com/oven-sh/bun/issues/9777
9918,not-memory,high,test-runner,1.1.0,no,no,"Solid testing-library renders nothing under bun test — compat gap, no crash/leak",https://github.com/oven-sh/bun/issues/9918
9924,crash,high,install/lifecycle-scripts (spawn),1.1.0,yes,yes,vue-demi postinstall child Bun segfaults at process start inside Docker (perf trace shows crash right after clone),https://github.com/oven-sh/bun/issues/9924
9937,crash,high,bundler/shell-glob,1.1.0,yes,yes,Zig panic 'integer overflow' when `bun build ./src/**/*.ts` expands glob on Windows,https://github.com/oven-sh/bun/issues/9937
10047,crash,high,napi/dlopen,1.1.2,yes,no,Segfault loading bcrypt_lib.node on Alpine x64 with sgerrand glibc shim (musl/glibc ABI mismatch),https://github.com/oven-sh/bun/issues/10047
10056,crash,high,install/spawn (libuv on Windows),1.1.2,no,no,Segfault inside Carbon Black AV's injected ctiuser.dll during uv__process_proc_exit on bun install/upgrade,https://github.com/oven-sh/bun/issues/10056
10117,crash,high,install/napi (dlopen),1.1.3,yes,no,SIGILL during bunx @ulixee/cloud install (CPU baseline); later ASAN shows null-call in node_module_register loading better_sqlite3.node,https://github.com/oven-sh/bun/issues/10117
10159,leak,medium,HTMLRewriter,1.0.36,yes,yes,RSS climbs to >4GB iterating HTMLRewriter.transform(fetch()).arrayBuffer() over many sitemap files; gc doesn't reclaim,https://github.com/oven-sh/bun/issues/10159
10176,oom,high,runtime/jsc,1.0.32,yes,no,Pure-JS algorithm creating huge arrays hits RangeError: Out of memory (or appears to hang) where Node with 32GB heap succeeds,https://github.com/oven-sh/bun/issues/10176
10183,assert,medium,cli (bun create),1.1.3,yes,yes,`bun create https://github.com/...` panics 'reached unreachable code' on Windows after creating files,https://github.com/oven-sh/bun/issues/10183
10204,not-memory,medium,napi,1.1.3,yes,no,"Prisma's own tokio worker panics (JoinError::Cancelled) under Bun — napi/event-loop compat, not a Bun crash",https://github.com/oven-sh/bun/issues/10204
10245,assert,high,install,1.1.3,yes,yes,`bun add firebase` panics 'reached unreachable code' on Windows x64 baseline,https://github.com/oven-sh/bun/issues/10245
10246,not-memory,high,bundler (--compile),1.1.3,yes,no,"Compiled exe throws 'unable to determine transport target' for pino — path-embedding/logic bug, no crash",https://github.com/oven-sh/bun/issues/10246
10294,crash,medium,install,1.1.3,yes,no,SIGILL on `bun add @types/bun` on Windows — same AVX2 baseline class as #9777/#10369/#10410,https://github.com/oven-sh/bun/issues/10294
10369,crash,medium,install,1.1.4,yes,no,SIGILL on every `bun install` on Windows during package fetch — AVX2 baseline mismatch,https://github.com/oven-sh/bun/issues/10369
10410,crash,medium,install,1.1.4,yes,no,SIGILL on `bun add react` on Windows — AVX2 baseline mismatch,https://github.com/oven-sh/bun/issues/10410
10453,crash,high,runtime/jsc,1.1.4,yes,no,Segfault at 0x18 inside JSC LLInt performLLIntGetByID when running two concurrent ESLint().lintFiles(),https://github.com/oven-sh/bun/issues/10453
10464,crash,high,bunx/cli,1.1.4,yes,yes,Zig panic 'incorrect alignment' on `bunx wrangler ...` (BunxCommand) on Windows,https://github.com/oven-sh/bun/issues/10464
10499,crash,medium,install,1.1.4,no,yes,"SIGILL (Illegal instruction) repeatedly on install network/extract threads during bun install on Windows; private repo, unsymbolicated trace",https://github.com/oven-sh/bun/issues/10499
10516,not-memory,high,repl,1.1.4,yes,no,bun-repl npm package throws JS EvalError ('numeric escape in strict mode') on Windows due to backslash path in template literal — not a native crash,https://github.com/oven-sh/bun/issues/10516
10690,crash,high,napi,1.1.6,yes,no,Segfault at 0xC70 inside nodegl.node native addon on Windows (N-API/V8 shim),https://github.com/oven-sh/bun/issues/10690
10762,assert,high,http_server,1.1.7-canary,yes,yes,Internal assertion failure serving a 4.9GB Bun.file() response on Windows (RSS 5.4GB); works on Linux,https://github.com/oven-sh/bun/issues/10762
11325,leak,medium,install,1.1.9,no,yes,"bun install in gitlab-runner dind hangs and consumes all RAM (12GB→32GB+swap), no package.json provided",https://github.com/oven-sh/bun/issues/11325
11336,not-memory,high,debugger,1.1.8,yes,no,"Web inspector frontend shows TypeError page after stepping past last line — debugger UI bug, process does not crash",https://github.com/oven-sh/bun/issues/11336
11443,crash,high,fs,1.1.10,yes,yes,10000 concurrent Bun.file(0).text() on stdin crashes in src/thread_pool.zig worker thread,https://github.com/oven-sh/bun/issues/11443
11493,duplicate,high,repl,1.1.10,yes,no,bun-repl throws EvalError 'numeric escape in strict mode' inspecting any string on Windows — same root cause as #10516,https://github.com/oven-sh/bun/issues/11493
11680,crash,high,dns,1.1.13-canary,no,yes,Floating point exception (SIGFPE→SIGILL) in InternalDNS.getaddrinfo via us_socket_context_connect during Nuxt dev,https://github.com/oven-sh/bun/issues/11680
11701,not-memory,high,tls,1.1.8,yes,no,"HTTPS proxy with devcert exits with unhandled ConnectionClosed fetch error after first request — exit code 1, not a crash",https://github.com/oven-sh/bun/issues/11701
11761,assert,low,fetch,1.1.12,no,yes,"Internal assertion failure when fetch()+Bun.write a large file in a compiled Windows executable; only a screenshot, labeled needs-repro",https://github.com/oven-sh/bun/issues/11761
11811,not-memory,high,install,1.1.12,yes,no,"bun install reports 'DependencyLoop' internal error for workspace self-reference via --dir; handled error, not a memory crash",https://github.com/oven-sh/bun/issues/11811
11822,not-memory,high,fs,1.1.8,yes,no,"nuxt build with --bun fails with ENOENT in copyfile for public/ assets — fs compat behavior bug, not a crash",https://github.com/oven-sh/bun/issues/11822
11844,crash,high,ffi,1.1.10,yes,no,Illegal instruction inside user's lib.dll when calling print_list — user passed Node** where Node* expected; crash is in user C code,https://github.com/oven-sh/bun/issues/11844
11870,crash,medium,runtime,1.1.13,no,no,SIGILL immediately on startup on antiX Linux even with baseline build — CPU likely lacks required instruction set,https://github.com/oven-sh/bun/issues/11870
11898,crash,high,install,1.1.13,no,no,bun install segfaults at 0x8 on Windows with Trend Micro Deep Security; entire stack is inside TmUmEvt64.dll AV hook,https://github.com/oven-sh/bun/issues/11898
11937,assert,medium,runtime,1.1.13,yes,yes,Internal assertion failure running 'bunx --bun vite build' with @vitejs/plugin-legacy,https://github.com/oven-sh/bun/issues/11937
11953,crash,high,resolver,1.1.13,yes,yes,panic 'index out of bounds' when cwd is a Windows UNC path (\\?\C:\...) — path slicing bug,https://github.com/oven-sh/bun/issues/11953
11968,crash,high,napi,1.1.14,yes,no,dd-trace with profiling:true aborts via 'dyld: missing symbol called' — missing N-API/V8 profiler symbol,https://github.com/oven-sh/bun/issues/11968
11998,not-memory,high,bundler,1.1.15,yes,no,"bun build --target=node leaves require('punycode/') external, causing ImportModuleError at runtime in Node — resolution logic bug",https://github.com/oven-sh/bun/issues/11998
12145,crash,high,install,1.1.17,yes,yes,bun install panics accessing wrong tagged-union variant ('git_clone' while 'package_manifest' active) with git deps on Windows,https://github.com/oven-sh/bun/issues/12145
12372,not-memory,high,resolver,1.1.18,yes,no,tsconfig paths resolver cache doesn't pick up files created after process start; throws module-not-found (no crash/leak),https://github.com/oven-sh/bun/issues/12372
12449,assert,high,install,1.1.18,no,yes,Internal assertion failure in sys.zig writeAll during lockfile write on Windows when file owner is Administrators,https://github.com/oven-sh/bun/issues/12449
12475,crash,high,install,1.1.18,no,yes,SIGSEGV at 0xFFFFFFFFFFFFFFFF in install NetworkTask notify / hive_array during package extraction on Windows,https://github.com/oven-sh/bun/issues/12475
12507,needs-repro,low,run,1.1.18,no,no,"bun run build (Next.js) spikes CPU/RAM to 100% and hangs the machine; no trace, no repro provided",https://github.com/oven-sh/bun/issues/12507
12549,crash,high,install,1.1.20,yes,yes,SIGSEGV in installWithManager / http.handleResponseBody after npm-manifest JSON parse error against Sonatype Nexus registry,https://github.com/oven-sh/bun/issues/12549
12554,not-memory,high,install,1.1.20,yes,no,@discordjs/opus postinstall (node-pre-gyp running under Node) fails with spawn EINVAL / wrong ABI URL; not a Bun process crash,https://github.com/oven-sh/bun/issues/12554
12620,not-memory,high,install,1.1.20,yes,no,sharp optional native dep not bundled into compiled binary in Docker; throws 'Could not load sharp' at runtime (no Bun crash),https://github.com/oven-sh/bun/issues/12620
12730,not-memory,medium,fetch,1.1.20,yes,no,"Bun fetch to localhost (happy-eyeballs) makes workerd/wrangler crash with setsockopt EINVAL; Bun sees ConnectionClosed, Bun itself does not crash",https://github.com/oven-sh/bun/issues/12730
12820,crash,high,install,1.1.13,no,yes,SIGSEGV at 0xAA5 in PackageInstaller.installPackage during bun install on EAS macOS arm64 build machines,https://github.com/oven-sh/bun/issues/12820
12946,crash,high,install,1.1.20,yes,yes,SIGSEGV at 0xB0 in http.writeRequest on the HTTP thread during bun install of AWS Amplify Next.js template,https://github.com/oven-sh/bun/issues/12946
13095,assert,high,install,1.1.21,yes,yes,Internal assertion failure in lockfile.zig saveToDisk when a dependency uses the file:./path syntax on Windows,https://github.com/oven-sh/bun/issues/13095
13236,crash,medium,install,1.1.22-canary,no,no,SIGBUS in boringssl fiat_p256 / HTTPThread.processEvents during bun install on arm64 Linux inside Parallels VM,https://github.com/oven-sh/bun/issues/13236
13379,not-memory,high,install,1.1.25,yes,no,"bun install of local file:../pkg on Windows fails with EPERM copying from cache (and recursive self-copy on retry); error, not crash",https://github.com/oven-sh/bun/issues/13379
13386,crash,high,install,1.1.24,yes,yes,SIGSEGV at ASCII-looking address (string bytes used as pointer) in HTTPThread.processEvents during bun install of clerk/javascript monorepo,https://github.com/oven-sh/bun/issues/13386
13428,not-memory,high,upgrade,1.1.24,yes,no,"bun upgrade fails on macOS Catalina because newer builds link symbols (_preadv$NOCANCEL, ___ulock_wait2) only present on macOS 13+",https://github.com/oven-sh/bun/issues/13428
13477,not-memory,high,fs,1.1.25,yes,no,"Bun.write(Bun.stdout, """") on Windows takes the truncate path and throws EISDIR on ftruncate(fd=1); JS error, not a process crash",https://github.com/oven-sh/bun/issues/13477
13566,crash,high,napi,1.1.26,yes,no,SIGSEGV in Process_functionDlopen / addon when requiring a Zig-built N-API addon linked against node.lib on Windows,https://github.com/oven-sh/bun/issues/13566
13621,hang,medium,http,1.1.26,yes,no,Second @azure/identity getBearerToken call throws uncatchable AbortError and Bun.serve stops accepting connections (silent hang),https://github.com/oven-sh/bun/issues/13621
13654,crash,high,install,1.1.26,no,no,SIGILL in env_loader during bun install on a 2008 Core 2 Duo even with the baseline build (CPU lacks required instruction),https://github.com/oven-sh/bun/issues/13654
13691,not-memory,high,crash-reporter-infra,1.1.28,yes,no,"bun.report web service returns HTTP 500 for canary debug-symbol links — CI/infra issue, not a runtime crash",https://github.com/oven-sh/bun/issues/13691
13696,not-memory,high,node:http,1.1.26,yes,no,"node:http server buffers res.write() chunks instead of streaming immediately, causing testcontainers log-wait to time out",https://github.com/oven-sh/bun/issues/13696
13700,crash,high,install,1.1.26,yes,yes,bun install hangs then stack-overflows via infinite recursion in lockfile.zig hoistDependency,https://github.com/oven-sh/bun/issues/13700
13733,crash,medium,install/http,1.1.26,no,yes,Intermittent segfault at NULL in http.zig thread spawn during bun install with shared GitLab cache,https://github.com/oven-sh/bun/issues/13733
13771,crash,high,napi,1.1.26,yes,no,lightningcss napi-rs threadsafe_function receives Undefined/Object instead of Function from Bun's NAPI layer → SIGABRT,https://github.com/oven-sh/bun/issues/13771
13811,not-memory,high,http/Bun.serve,1.1.27,yes,no,SSE regression: direct ReadableStream pull() invoked repeatedly after Response.clone(); plus 10s idleTimeout disconnects streams,https://github.com/oven-sh/bun/issues/13811
13820,not-memory,high,node:http,1.1.27,yes,no,"node:https IncomingMessage.url returns path ('/') instead of '' like Node, breaking Playwright route.fetch()",https://github.com/oven-sh/bun/issues/13820
13852,crash,high,install,1.1.27,yes,yes,bun install segfaults at 0x21 immediately after migrating lockfile from package-lock.json,https://github.com/oven-sh/bun/issues/13852
13910,crash,high,ffi,1.1.27,yes,no,Intermittent segfault running DuckDB via bun:ffi — JSVALUE_TO_PTR Int32 sign-extension corrupts low-address handles (plus 3rd-party napi UAF),https://github.com/oven-sh/bun/issues/13910
13999,assert,high,runtime/module-loader,1.1.27,yes,yes,Runtime plugin build.module() virtual module triggers 'Internal assertion failure' in js_ast.zig via handleVirtualModuleResult,https://github.com/oven-sh/bun/issues/13999
14016,not-memory,high,fs/windows,1.1.28,yes,no,bunx --bun create-expo-app on Windows fails: ENOENT reading extracted package.json + 'code argument must be an integer' in process.exit,https://github.com/oven-sh/bun/issues/14016
14037,crash,high,bundler,1.1.28,yes,yes,Bun.build() segfaults in bundle_v2 generateChunksInParallel; debug shows assert(additional_files.len > 0) fails for plugin-handled .wasm,https://github.com/oven-sh/bun/issues/14037
14075,not-memory,medium,bundler/single-file-executable,1.1.29,no,no,import-with-{type:'file'} asset resolves to wrong path (B:/~BUN/root/../../..) inside compiled .exe on Windows; stochastic ENOENT,https://github.com/oven-sh/bun/issues/14075
14349,assert,high,streams/event-loop,1.1.30-debug,yes,yes,Debug ASSERTION FAILED microtaskArgs[0].isCallable() — FileReader ReadableStreamSource.onClose queues undefined as microtask callback during express tests,https://github.com/oven-sh/bun/issues/14349
14389,leak,high,node:http,1.1.29,yes,yes,Nuxt SSR via node:http leaks one Promise/Request/Response/Headers per request (protectedObjectTypeCounts grows unbounded),https://github.com/oven-sh/bun/issues/14389
14432,duplicate,high,resolver/auto-install,1.1.30,no,yes,Segfault at 0xAAAAAAAAAAAAAAAA in resolver auto-install addErrorFmt when dependency resolution errors — confirmed duplicate of #14778,https://github.com/oven-sh/bun/issues/14432
14450,crash,high,bundler,1.1.26,yes,yes,"bun build --watch panics 'index out of bounds: index 21, len 21' in bundle_v2 LinkerContext.next/link",https://github.com/oven-sh/bun/issues/14450
14589,not-memory,medium,install/bin-shim,,no,no,Subprocess (npm via node) fails with Windows EPERM rmdir and bun bin-shim 'executable does not exist on disk' — not a Bun process crash,https://github.com/oven-sh/bun/issues/14589
14593,not-memory,low,node:stream,1.1.30,no,no,"bunx --bun ionic build throws a node:stream exception (details only in screenshot, no trace text)",https://github.com/oven-sh/bun/issues/14593
14701,assert,high,install,1.1.29,yes,yes,"bun install on Windows: EPERM copying file: dependency, then 'Internal assertion failure' in sys.zig writeAll during lockfile save",https://github.com/oven-sh/bun/issues/14701
14715,not-memory,high,transpiler,,yes,no,"Block-scoped function declarations leak to outer scope in strict mode (spec/hoisting bug, 'crash' refers to ReferenceError)",https://github.com/oven-sh/bun/issues/14715
14738,crash,high,jsc/gc,1.1.32,no,no,SIGSEGV in JSC JSString GC sweep (operationToLowerCase → JSString::create → finishSweep) after long-running fetch+JSON.parse loop,https://github.com/oven-sh/bun/issues/14738
14745,not-memory,high,cli/startup,,no,no,Feature request: detect missing SSE4.2/AVX2 at startup and exit with friendly error instead of SIGILL,https://github.com/oven-sh/bun/issues/14745
14800,crash,high,jsc,1.1.33,yes,no,SIGSEGV at 0x10 in JSC::genericUnwind / llint exception handling when throwing during mysql2 createConnection,https://github.com/oven-sh/bun/issues/14800
14846,leak,medium,spawn/child_process,1.1.31,yes,yes,RSS grows unbounded (~400MB+) when polling systeminformation (spawns child processes) on setInterval,https://github.com/oven-sh/bun/issues/14846
14856,crash,high,jsc/gc,1.1.33,yes,no,"SIGSEGV (garbage pointer) in JSC SlotVisitor::drain → visitChildren during GC, Prisma + http_server workload",https://github.com/oven-sh/bun/issues/14856
14878,crash,high,error-handling/bindings,1.1.21,no,yes,SIGSEGV in Bun::toStringRef ← fromErrorInstance ← remapZigException while printing unhandled error from TensorFlow.js (Windows),https://github.com/oven-sh/bun/issues/14878
14920,not-memory,high,shell,1.1.26,yes,no,Bun shell missing `set -e` builtin (feature gap; 'crash' refers to expected script failure),https://github.com/oven-sh/bun/issues/14920
14958,not-memory,high,node:http2,1.1.34,yes,no,http2-wrapper throws 'h2 is not supported' / TypeError due to missing HTTP/1.1 fallback + RFC8336 origin set in node:http2,https://github.com/oven-sh/bun/issues/14958
14997,crash,low,napi/install,1.1.34,yes,no,"Docker oven/bun:1.1.34-debian: bun install very slow, then drizzle migration crashes on startup (napi/libsql)",https://github.com/oven-sh/bun/issues/14997
